img_filename,Male,Black_Hair
063287.jpg,1,0
153377.jpg,1,1
064839.jpg,0,0
198855.jpg,0,1
078906.jpg,0,0
148605.jpg,0,0
178560.jpg,0,0
086373.jpg,0,0
105063.jpg,0,0
037428.jpg,0,0
008714.jpg,0,0
100554.jpg,0,0
140533.jpg,1,0
064076.jpg,0,1
121717.jpg,0,1
037415.jpg,0,0
131364.jpg,1,1
102027.jpg,0,0
022177.jpg,0,1
173550.jpg,0,0
050370.jpg,0,0
012196.jpg,0,1
045696.jpg,0,1
194929.jpg,0,1
107299.jpg,0,0
176315.jpg,0,0
031710.jpg,0,0
090324.jpg,0,0
094291.jpg,1,0
194221.jpg,0,0
176068.jpg,1,0
003355.jpg,0,0
131918.jpg,1,0
055861.jpg,0,1
062483.jpg,1,0
059330.jpg,0,0
029701.jpg,0,0
065205.jpg,0,1
136402.jpg,0,0
019972.jpg,0,0
088710.jpg,0,0
098237.jpg,0,0
122256.jpg,0,0
114545.jpg,0,0
181330.jpg,0,0
007997.jpg,0,1
078457.jpg,0,0
073833.jpg,0,1
101019.jpg,0,0
168043.jpg,0,0
