img_filename,Male,Black_Hair
135895.jpg,1,1
011756.jpg,0,0
201855.jpg,0,0
104960.jpg,0,0
015365.jpg,1,0
123076.jpg,0,0
162764.jpg,1,0
032325.jpg,0,0
014560.jpg,0,0
057521.jpg,0,0
060913.jpg,0,0
016380.jpg,0,0
090913.jpg,0,0
177937.jpg,0,0
056779.jpg,0,1
053836.jpg,1,0
160867.jpg,0,0
177751.jpg,1,0
101392.jpg,0,0
007727.jpg,0,1
185153.jpg,0,0
088699.jpg,1,0
021677.jpg,1,0
065260.jpg,1,0
180897.jpg,0,0
088296.jpg,0,0
072820.jpg,0,0
053594.jpg,0,1
128772.jpg,0,0
188630.jpg,1,0
107829.jpg,1,0
189518.jpg,0,1
180049.jpg,0,0
143158.jpg,0,1
120217.jpg,0,1
156443.jpg,0,0
094473.jpg,0,0
077807.jpg,1,1
014263.jpg,0,1
058880.jpg,0,0
055681.jpg,0,0
029605.jpg,0,0
054812.jpg,0,1
080499.jpg,0,0
026986.jpg,1,0
039497.jpg,1,0
042293.jpg,0,0
021649.jpg,0,1
036677.jpg,0,0
190427.jpg,0,0
183116.jpg,0,1
131523.jpg,0,0
181214.jpg,0,0
135833.jpg,0,1
183573.jpg,0,0
186232.jpg,0,0
171489.jpg,0,0
178544.jpg,0,1
051309.jpg,0,1
055936.jpg,1,0
185394.jpg,0,0
117214.jpg,0,0
147458.jpg,1,0
200946.jpg,0,1
173133.jpg,0,1
024743.jpg,0,0
008992.jpg,0,0
150487.jpg,0,1
064040.jpg,1,0
133039.jpg,0,1
189358.jpg,0,0
103221.jpg,0,1
128082.jpg,0,0
043442.jpg,0,1
092350.jpg,0,0
148845.jpg,0,0
194764.jpg,0,1
110910.jpg,1,0
049858.jpg,0,0
126170.jpg,0,0
172592.jpg,0,0
090570.jpg,1,1
184164.jpg,0,0
086835.jpg,0,1
104846.jpg,0,1
028265.jpg,0,0
177058.jpg,0,0
084858.jpg,0,0
135640.jpg,0,0
049947.jpg,0,0
001363.jpg,0,0
049857.jpg,0,0
180828.jpg,0,0
121610.jpg,0,0
086066.jpg,0,1
