,index,Male,Black_Hair
0,003697.jpg,0,0
1,172335.jpg,0,0
2,010068.jpg,0,0
3,041401.jpg,0,0
4,131616.jpg,0,0
5,137163.jpg,0,0
6,171975.jpg,0,0
7,142843.jpg,0,0
8,132312.jpg,0,0
9,047599.jpg,1,1
10,000379.jpg,0,0
11,182149.jpg,0,0
12,090781.jpg,1,0
13,055288.jpg,1,0
14,030923.jpg,0,1
15,151421.jpg,0,0
16,132780.jpg,0,0
17,129332.jpg,0,0
18,033625.jpg,0,0
19,187508.jpg,0,0
20,120781.jpg,1,0
21,114873.jpg,0,0
22,155309.jpg,1,0
23,176706.jpg,0,0
24,092861.jpg,0,0
25,036957.jpg,0,0
26,071457.jpg,0,0
27,126324.jpg,0,0
28,019417.jpg,0,0
29,194216.jpg,1,1
30,103254.jpg,0,0
31,193699.jpg,1,0
32,132386.jpg,1,1
33,101004.jpg,0,0
34,179980.jpg,1,1
35,154033.jpg,1,0
36,057400.jpg,0,0
37,190828.jpg,0,0
38,111920.jpg,0,0
39,060859.jpg,1,0
40,043245.jpg,1,1
41,096936.jpg,0,0
42,025996.jpg,1,0
43,134474.jpg,0,0
44,032900.jpg,0,0
45,190748.jpg,1,0
46,053614.jpg,0,0
47,069952.jpg,0,0
48,180814.jpg,0,0
49,105341.jpg,0,0
50,061827.jpg,0,0
51,124020.jpg,0,1
52,194495.jpg,0,1
53,189939.jpg,1,0
54,022189.jpg,0,0
55,098611.jpg,0,0
56,145918.jpg,0,0
57,083422.jpg,0,0
58,113079.jpg,1,0
59,192116.jpg,0,0
60,116337.jpg,0,0
61,157999.jpg,0,0
62,101148.jpg,0,0
63,190371.jpg,0,0
64,120228.jpg,0,0
65,001318.jpg,0,0
66,043093.jpg,1,0
67,148872.jpg,1,0
68,019846.jpg,0,0
69,199792.jpg,0,1
70,187536.jpg,0,0
71,002287.jpg,0,0
72,016469.jpg,0,0
73,056247.jpg,0,0
74,146796.jpg,0,0
75,161941.jpg,0,0
76,065918.jpg,1,1
77,032160.jpg,0,0
78,184045.jpg,0,0
79,149340.jpg,1,0
80,080727.jpg,0,0
81,098949.jpg,0,0
82,009646.jpg,0,0
83,096893.jpg,0,0
84,018091.jpg,0,1
85,131073.jpg,1,0
86,034814.jpg,1,0
87,157772.jpg,0,0
88,074509.jpg,0,0
89,116224.jpg,0,0
90,138562.jpg,0,0
91,061127.jpg,0,0
92,075121.jpg,0,1
93,123473.jpg,0,0
94,168152.jpg,0,1
95,059221.jpg,0,0
96,028358.jpg,0,0
97,037167.jpg,1,0
98,145176.jpg,0,0
99,163137.jpg,0,0
100,077138.jpg,0,0
101,174488.jpg,1,0
102,071425.jpg,0,0
103,202553.jpg,0,1
104,195040.jpg,0,0
105,050424.jpg,1,1
106,131345.jpg,0,0
107,141139.jpg,0,1
108,191832.jpg,0,0
109,144585.jpg,1,0
110,178151.jpg,0,0
